number,homeTeamName,awayTeamName
1,Avellino,Mambo
1,Chievo,Bologna
1,Fiorentina,Progetto Gaming
1,Forst Südtirol,Villaggio Prenestino
1,Inter,Union Entella
1,Lazio,Bari
1,Monza,Mantova
1,Palermo,Empoli
1,RavennaZ,Cremonese
1,Torino,Napoli
